year,month,pool,tier,per_znx_cash_usd,per_znx_total_usd
2025,11,stable,basic,0.037910906831977405,0.037910906831977405
2025,11,stable,advanced,0.042649770185974586,0.042649770185974586
2025,11,stable,premium,0.04738863353997176,0.04738863353997176
2025,11,growth,basic,0.009477726707994353,0.009477726707994353
2025,11,growth,advanced,0.011847158384992942,0.011847158384992942
2025,11,growth,premium,0.01421659006199153,0.01421659006199153
2025,12,stable,basic,0.08273818540033781,0.08273818540033781
2025,12,stable,advanced,0.09308045857538005,0.09308045857538005
2025,12,stable,premium,0.10342273175042228,0.10342273175042228
2025,12,growth,basic,0.020684546350084456,0.020684546350084456
2025,12,growth,advanced,0.025855682937605574,0.025855682937605574
2025,12,growth,premium,0.03102681952512669,0.03102681952512669
2026,1,stable,basic,0.12220453745918243,0.12220453745918243
2026,1,stable,advanced,0.13748010464158025,0.13748010464158025
2026,1,stable,premium,0.152755671823978,0.152755671823978
2026,1,growth,basic,0.030551134364795614,0.030551134364795614
2026,1,growth,advanced,0.038188917955994515,0.038188917955994515
2026,1,growth,premium,0.045826701547193406,0.045826701547193406
2026,2,stable,basic,0.09831967058872003,0.09831967058872003
2026,2,stable,advanced,0.11060962941231005,0.11060962941231005
2026,2,stable,premium,0.12289958823590001,0.12289958823590001
2026,2,growth,basic,0.02457991764718001,0.02457991764718001
2026,2,growth,advanced,0.030724897058975013,0.030724897058975013
2026,2,growth,premium,0.03686987647077001,0.03686987647077001
2026,3,stable,basic,0.05771763413182384,0.05771763413182384
2026,3,stable,advanced,0.06493233839830183,0.06493233839830183
2026,3,stable,premium,0.0721470426647798,0.0721470426647798
2026,3,growth,basic,0.014429408532955962,0.014429408532955962
2026,3,growth,advanced,0.018036760666194956,0.018036760666194956
2026,3,growth,premium,0.021644112799433943,0.021644112799433943
2026,4,stable,basic,0.10318100356447826,0.10318100356447826
2026,4,stable,advanced,0.11607862901003806,0.11607862901003806
2026,4,stable,premium,0.12897625445559782,0.12897625445559782
2026,4,growth,basic,0.02579525089111957,0.02579525089111957
2026,4,growth,advanced,0.03224406361389946,0.03224406361389946
2026,4,growth,premium,0.03869287633667935,0.03869287633667935
2026,5,stable,basic,0.09308922457403739,0.09308922457403739
2026,5,stable,advanced,0.10472537764579208,0.10472537764579208
2026,5,stable,premium,0.11636153071754674,0.11636153071754674
2026,5,growth,basic,0.023272306143509353,0.023272306143509353
2026,5,growth,advanced,0.029090382679386687,0.029090382679386687
2026,5,growth,premium,0.034908459215264025,0.034908459215264025
2026,6,stable,basic,0.0,0.0
2026,6,stable,advanced,0.0,0.0
2026,6,stable,premium,0.0,0.0
2026,6,growth,basic,0.0,0.0
2026,6,growth,advanced,0.0,0.0
2026,6,growth,premium,0.0,0.0
2026,7,stable,basic,0.0,0.0
2026,7,stable,advanced,0.0,0.0
2026,7,stable,premium,0.0,0.0
2026,7,growth,basic,0.0,0.0
2026,7,growth,advanced,0.0,0.0
2026,7,growth,premium,0.0,0.0
2026,8,stable,basic,0.0,0.0
2026,8,stable,advanced,0.0,0.0
2026,8,stable,premium,0.0,0.0
2026,8,growth,basic,0.0,0.0
2026,8,growth,advanced,0.0,0.0
2026,8,growth,premium,0.0,0.0
2026,9,stable,basic,0.0,0.0
2026,9,stable,advanced,0.0,0.0
2026,9,stable,premium,0.0,0.0
2026,9,growth,basic,0.0,0.0
2026,9,growth,advanced,0.0,0.0
2026,9,growth,premium,0.0,0.0
2026,10,stable,basic,0.01382637050214584,0.01382637050214584
2026,10,stable,advanced,0.015554666814914074,0.015554666814914074
2026,10,stable,premium,0.0172829631276823,0.0172829631276823
2026,10,growth,basic,0.003456592625536461,0.003456592625536461
2026,10,growth,advanced,0.004320740781920576,0.004320740781920576
2026,10,growth,premium,0.00518488893830469,0.00518488893830469
